순위,제목,변동,변동값
01,신비한 동물들과 덤블도어의 비밀,불변,0
02,뜨거운 피,불변,0
03,앰뷸런스,불변,0
04,모비우스,불변,0
05,닥터 스트레인지: 대혼돈의 멀티버스,상승,1
06,공기살인,상승,2
07,더 배트맨,강등,1
08,앵커,강등,1
09,스텔라,불변,0
10,수퍼 소닉2,불변,0
11,니 부모 얼굴이 보고 싶다,상승,2
12,범죄도시2,불변,0
13,로스트 시티,상승,1
14,이상한 나라의 수학자,강등,3
15,언차티드,상승,12
16,한산: 용의 출현,상승,1
17,극장판 주술회전 0,강등,1
18,그리스도 디 오리진,강등,3
19,서울괴담,강등,1
20,극장판 귀멸의 칼날: 무한열차편,상승,1
21,브로커,강등,1
22,야차,강등,3
23,말임씨를 부탁해,강등,1
24,봄날,상승,1
25,소설가의 영화,불변,0
26,바다 탐험대 옥토넛 : 육지수호 대작전,강등,3
27,쓰리: 아직 끝나지 않았다,강등,1
28,토르: 러브 앤 썬더,불변,0
29,더 컨트랙터,상승,1
30,루이스 웨인: 사랑을 그린 고양이 화가,상승,1
31,배니싱: 미제사건,강등,2
32,4월은 너의 거짓말,상승,1
33,중경삼림,상승,2
34,문폴,불변,0
35,복지식당,강등,2
36,내가 처음으로 사랑한 소녀,상승,7
37,엄마,상승,1
38,늑대들,상승,4
39,스파이더맨: 노 웨이 홈,불변,0
40,신비한 동물들과 그린델왈드의 범죄,강등,3
41,열대왕사,상승,4
42,고스팅 글로리아,강등,3
43,신비한 동물사전,강등,2
44,헝거,상승,3
45,헤어질 결심,강등,2
46,몬스터 아카데미,상승,4
47,팔마,상승,4
48,불도저에 탄 소녀,강등,12
49,"위대한 계약: 파주, 책, 도시",상승,3
50,태어나길 잘했어,강등,4
